Lesson,Action,Obstacles
Lesson 1: Breakthrough Basics,Action 1: Choose patterns to address,"1. Overwhelm in identifying priorities
2. Fear of flaw exposure
3. Limited self-assessment practice"
,Action 2: Pinpoint beliefs,"1. Subconscious beliefs are hard to access
2. Resistance to questioning success-linked assumptions
3. Difficulty linking behaviors to beliefs"
,Action 3: Notice stories + impact,"1. Personal and cultural narratives feel invisible
2. Assessing narrative impact feels abstract
3. Strong emotions distort self-reflection"
Lesson 2: Mosaeic Method,Action 1: Choose context to improve under pressure,"1. Too many competing high-pressure areas
2. Pressure to be effective everywhere
3. Unclear which area to prioritize"
,Action 2: Apply MOSAEIC technique,"1. Adopting new practices amid busyness
2. Objectivity challenged by performance mindset
3. Difficulty maintaining observation consistency"
,Action 3: Track impact of stories,"1. Narratives are hard to observe in real time
2. Subtle decision biases go unnoticed
3. Outcome attribution feels speculative"
Lesson 3: Replay Loop Breaker,Action 1: Spot the story behind your most frustrating replay pattern,"1. Vulnerability in facing discomfort
2. Root beliefs are complex to uncover
3. Risk of harsh self-judgment"
,Action 2: Label the feeling the story causes you to experience,"1. Emotional overwhelm during prioritization
2. Ambiguity around ""which belief matters most""
3. Interconnected beliefs cloud focus"
,Action 3: Identify the protective prediction the replay is trying to fulfill,"1. Deep beliefs feel too big to break down
2. Origins are emotionally charged
3. Motivation dips without quick wins"
Lesson 4: Conviction Gauntlet,Action 1: Review beliefs + stories,"1. Revisiting pain can retraumatize
2. Difficulty staying neutral
3. Insights can feel disjointed"
,Action 2: Analyze origins + evidence,"1. Resistance to challenging identity beliefs
2. Difficulty separating facts from assumptions
3. Confirmation bias strengthens old beliefs"
,Action 3: Develop/test new beliefs,"1. New beliefs may not feel believable
2. Life doesn't immediately reflect change
3. Setbacks may reinforce old patterns"
Lesson 5: Perspective Matrix,Action 1: Identify/analyze perspective,"1. Self-bias is hard to catch
2. Owning limitations threatens self-image
3. Multiview thinking causes overwhelm"
,Action 2: Explore new viewpoints,"1. Seeking input can feel exposing
2. New views can trigger resistance
3. Integration of insights takes effort"
,Action 3: Reframe + align,"1. Hard to shift ingrained negative narratives
2. Maintaining perspective consistency
3. Early reframes feel inauthentic"
Lesson 6: Vision Accelerator,Action 1: Explore possibilities,"1. Fear of dreaming ""too big""
2. Creative constraints from past roles
3. Visualizing abstract futures feels unfamiliar"
,Action 2: Release impairments,"1. Resistance to letting go of old identities
2. Fear of losing competence narrative
3. Belief shifts create identity dissonance"
,Action 3: Envision future scenarios,"1. Balancing idealism with realism
2. Aligning with values takes refinement
3. Translating vision into strategy is unclear"
Lesson 7: Habit Harmonizer,Action 1: Internalize beliefs,"1. Inconsistent reflection practice
2. Lingering doubts weaken conviction
3. Repeating without meaning feels empty"
,Action 2: Apply beliefs in real world,"1. Real-world stress tests belief strength
2. Unexpected results shake confidence
3. Lack of reinforcement discourages follow-through"
,Action 3: Daily checklist,"1. Over-customization delays use
2. Routine fatigue leads to drop-off
3. Checklist loses relevance over time"
Lesson 8: Execution Engine,Action 1: Personalize action plan,"1. Too many priorities compete
2. Over-optimizing delays action
3. Unrealistic plans lead to shutdown"
,Action 2: Predict/respond to obstacles,"1. Poor anticipation causes friction
2. Solutions feel too theoretical
3. Overplanning creates rigidity"
,Action 3: Seek feedback,"1. Fear of judgment blocks outreach
2. Dismissing feedback due to pride
3. Support network isn’t aligned or accessible"
Lesson 9: Growth Anchor,Action 1: Build growth system,"1. Hard to design adaptable structure
2. Life integration feels disruptive
3. Progress is hard to measure"
,Action 2: Develop adaptability,"1. Change triggers uncertainty
2. Flexibility is outside comfort zone
3. Stress hijacks resilience"
,Action 3: Circle of support,"1. Trust issues limit connection
2. Support may not match growth pace
3. Difficulty sustaining mutual commitment"
